dataset,metric,block_size,max_distance,dpm_file_name,score,execution_time
dolls,normalized_cross_correlation,7,52,disp_normalized_cross_correlation_dolls_7_52.png,-0.14229599472787047,4.2017
dolls,normalized_cross_correlation,7,56,disp_normalized_cross_correlation_dolls_7_56.png,-0.26814760247652636,4.433
dolls,normalized_cross_correlation,7,60,disp_normalized_cross_correlation_dolls_7_60.png,-0.41128013144918,4.6375
dolls,normalized_cross_correlation,7,64,disp_normalized_cross_correlation_dolls_7_64.png,-0.5353325598464411,4.8985
dolls,normalized_cross_correlation,7,68,disp_normalized_cross_correlation_dolls_7_68.png,-0.6542733101245559,5.0748
dolls,normalized_cross_correlation,7,72,disp_normalized_cross_correlation_dolls_7_72.png,-0.6626925260133244,5.3153
dolls,normalized_cross_correlation,7,76,disp_normalized_cross_correlation_dolls_7_76.png,-0.6606863510116566,5.5652
dolls,normalized_cross_correlation,9,40,disp_normalized_cross_correlation_dolls_9_40.png,0.21676474802423226,4.7513
dolls,normalized_cross_correlation,9,44,disp_normalized_cross_correlation_dolls_9_44.png,0.1413459098124493,4.7744
dolls,normalized_cross_correlation,9,48,disp_normalized_cross_correlation_dolls_9_48.png,0.03108014565944227,5.2438
dolls,normalized_cross_correlation,9,52,disp_normalized_cross_correlation_dolls_9_52.png,-0.14699118888757315,5.8403
dolls,normalized_cross_correlation,9,56,disp_normalized_cross_correlation_dolls_9_56.png,-0.2723625606378911,5.9829
dolls,normalized_cross_correlation,9,60,disp_normalized_cross_correlation_dolls_9_60.png,-0.417855581956456,6.037
dolls,normalized_cross_correlation,9,64,disp_normalized_cross_correlation_dolls_9_64.png,-0.5542016355854859,6.1232
dolls,normalized_cross_correlation,9,68,disp_normalized_cross_correlation_dolls_9_68.png,-0.6593134440347775,6.4427
dolls,normalized_cross_correlation,9,72,disp_normalized_cross_correlation_dolls_9_72.png,-0.6668127122358484,6.6997
dolls,normalized_cross_correlation,9,76,disp_normalized_cross_correlation_dolls_9_76.png,-0.6653070823670317,7.032
dolls,normalized_cross_correlation,11,40,disp_normalized_cross_correlation_dolls_11_40.png,0.21937999301638056,5.9026
dolls,normalized_cross_correlation,11,44,disp_normalized_cross_correlation_dolls_11_44.png,0.14211979734808586,5.9724
dolls,normalized_cross_correlation,11,48,disp_normalized_cross_correlation_dolls_11_48.png,0.025178227904769195,6.4948
dolls,normalized_cross_correlation,11,52,disp_normalized_cross_correlation_dolls_11_52.png,-0.15196967298558006,6.5858
dolls,normalized_cross_correlation,11,56,disp_normalized_cross_correlation_dolls_11_56.png,-0.27765854138607254,6.7349
dolls,normalized_cross_correlation,11,60,disp_normalized_cross_correlation_dolls_11_60.png,-0.4247763132184202,7.2307
dolls,normalized_cross_correlation,11,64,disp_normalized_cross_correlation_dolls_11_64.png,-0.5678456156172722,7.8627
dolls,normalized_cross_correlation,11,68,disp_normalized_cross_correlation_dolls_11_68.png,-0.6622992041167732,7.9889
dolls,normalized_cross_correlation,11,72,disp_normalized_cross_correlation_dolls_11_72.png,-0.6696531051097724,8.7389
dolls,normalized_cross_correlation,11,76,disp_normalized_cross_correlation_dolls_11_76.png,-0.6682423497932586,8.9375
dolls,normalized_cross_correlation,13,40,disp_normalized_cross_correlation_dolls_13_40.png,0.2197694100204894,6.7395
dolls,normalized_cross_correlation,13,44,disp_normalized_cross_correlation_dolls_13_44.png,0.13967941804966072,7.2812
dolls,normalized_cross_correlation,13,48,disp_normalized_cross_correlation_dolls_13_48.png,0.018665248199993417,7.7987
dolls,normalized_cross_correlation,13,52,disp_normalized_cross_correlation_dolls_13_52.png,-0.1545914181116693,8.1079
dolls,normalized_cross_correlation,13,56,disp_normalized_cross_correlation_dolls_13_56.png,-0.28206243189193425,8.3089
dolls,normalized_cross_correlation,13,60,disp_normalized_cross_correlation_dolls_13_60.png,-0.42675064587744943,9.1981
dolls,normalized_cross_correlation,13,64,disp_normalized_cross_correlation_dolls_13_64.png,-0.5772778057609583,9.5197
dolls,normalized_cross_correlation,13,68,disp_normalized_cross_correlation_dolls_13_68.png,-0.66159686648397,9.9371
dolls,normalized_cross_correlation,13,72,disp_normalized_cross_correlation_dolls_13_72.png,-0.6682470084608207,10.517
dolls,normalized_cross_correlation,13,76,disp_normalized_cross_correlation_dolls_13_76.png,-0.6667757961698181,10.7607
dolls,sum_of_squared_differences,3,40,disp_sum_of_squared_differences_dolls_3_40.png,2557361830.0,1.46
dolls,sum_of_squared_differences,3,44,disp_sum_of_squared_differences_dolls_3_44.png,2465593909.0,1.4786
dolls,sum_of_squared_differences,3,48,disp_sum_of_squared_differences_dolls_3_48.png,2341807105.0,1.5149
dolls,sum_of_squared_differences,3,52,disp_sum_of_squared_differences_dolls_3_52.png,2128351498.0,1.5487
dolls,sum_of_squared_differences,3,56,disp_sum_of_squared_differences_dolls_3_56.png,2002513521.0,1.4983
dolls,sum_of_squared_differences,3,60,disp_sum_of_squared_differences_dolls_3_60.png,1902203462.0,1.6207
dolls,sum_of_squared_differences,3,64,disp_sum_of_squared_differences_dolls_3_64.png,1845233083.0,1.5833
dolls,sum_of_squared_differences,3,68,disp_sum_of_squared_differences_dolls_3_68.png,1753915662.0,1.5729
dolls,sum_of_squared_differences,3,72,disp_sum_of_squared_differences_dolls_3_72.png,1737588757.0,1.6534
dolls,sum_of_squared_differences,3,76,disp_sum_of_squared_differences_dolls_3_76.png,1731714123.0,1.624
dolls,sum_of_squared_differences,5,40,disp_sum_of_squared_differences_dolls_5_40.png,2543205452.0,1.4499
dolls,sum_of_squared_differences,5,44,disp_sum_of_squared_differences_dolls_5_44.png,2447247114.0,1.5552
dolls,sum_of_squared_differences,5,48,disp_sum_of_squared_differences_dolls_5_48.png,2310612674.0,1.6571
dolls,sum_of_squared_differences,5,52,disp_sum_of_squared_differences_dolls_5_52.png,2096853904.0,1.7487
dolls,sum_of_squared_differences,5,56,disp_sum_of_squared_differences_dolls_5_56.png,1968132991.0,1.7101
dolls,sum_of_squared_differences,5,60,disp_sum_of_squared_differences_dolls_5_60.png,1872950741.0,1.7028
dolls,sum_of_squared_differences,5,64,disp_sum_of_squared_differences_dolls_5_64.png,1814414389.0,1.7272
dolls,sum_of_squared_differences,5,68,disp_sum_of_squared_differences_dolls_5_68.png,1723505109.0,1.8198
dolls,sum_of_squared_differences,5,72,disp_sum_of_squared_differences_dolls_5_72.png,1711899739.0,1.8235
dolls,sum_of_squared_differences,5,76,disp_sum_of_squared_differences_dolls_5_76.png,1709116927.0,1.7742
dolls,sum_of_squared_differences,7,40,disp_sum_of_squared_differences_dolls_7_40.png,2532988298.0,1.5358
dolls,sum_of_squared_differences,7,44,disp_sum_of_squared_differences_dolls_7_44.png,2431335551.0,1.6557
dolls,sum_of_squared_differences,7,48,disp_sum_of_squared_differences_dolls_7_48.png,2282513696.0,1.6077
dolls,sum_of_squared_differences,7,52,disp_sum_of_squared_differences_dolls_7_52.png,2076073659.0,1.7077
dolls,sum_of_squared_differences,7,56,disp_sum_of_squared_differences_dolls_7_56.png,1947710082.0,1.7797
dolls,sum_of_squared_differences,7,60,disp_sum_of_squared_differences_dolls_7_60.png,1857200246.0,1.8782
dolls,sum_of_squared_differences,7,64,disp_sum_of_squared_differences_dolls_7_64.png,1797346422.0,1.7574
dolls,sum_of_squared_differences,7,68,disp_sum_of_squared_differences_dolls_7_68.png,1710689158.0,1.7489
dolls,sum_of_squared_differences,7,72,disp_sum_of_squared_differences_dolls_7_72.png,1701520618.0,1.8321
dolls,sum_of_squared_differences,7,76,disp_sum_of_squared_differences_dolls_7_76.png,1699917498.0,1.8713
dolls,sum_of_squared_differences,9,40,disp_sum_of_squared_differences_dolls_9_40.png,2522373097.0,1.5683
dolls,sum_of_squared_differences,9,44,disp_sum_of_squared_differences_dolls_9_44.png,2415966691.0,1.622
dolls,sum_of_squared_differences,9,48,disp_sum_of_squared_differences_dolls_9_48.png,2259584603.0,1.6496
dolls,sum_of_squared_differences,9,52,disp_sum_of_squared_differences_dolls_9_52.png,2060117424.0,1.7791
dolls,sum_of_squared_differences,9,56,disp_sum_of_squared_differences_dolls_9_56.png,1929985964.0,1.8723
dolls,sum_of_squared_differences,9,60,disp_sum_of_squared_differences_dolls_9_60.png,1843409370.0,1.807
dolls,sum_of_squared_differences,9,64,disp_sum_of_squared_differences_dolls_9_64.png,1786159572.0,1.8114
dolls,sum_of_squared_differences,9,68,disp_sum_of_squared_differences_dolls_9_68.png,1703593342.0,1.8796
dolls,sum_of_squared_differences,9,72,disp_sum_of_squared_differences_dolls_9_72.png,1697522056.0,1.8998
dolls,sum_of_squared_differences,9,76,disp_sum_of_squared_differences_dolls_9_76.png,1696461786.0,2.0005
dolls,sum_of_squared_differences,11,40,disp_sum_of_squared_differences_dolls_11_40.png,2512705295.0,1.7853
dolls,sum_of_squared_differences,11,44,disp_sum_of_squared_differences_dolls_11_44.png,2399477090.0,1.7357
dolls,sum_of_squared_differences,11,48,disp_sum_of_squared_differences_dolls_11_48.png,2239170232.0,1.7723
dolls,sum_of_squared_differences,11,52,disp_sum_of_squared_differences_dolls_11_52.png,2047500999.0,1.7884
dolls,sum_of_squared_differences,11,56,disp_sum_of_squared_differences_dolls_11_56.png,1916322982.0,1.9048
dolls,sum_of_squared_differences,11,60,disp_sum_of_squared_differences_dolls_11_60.png,1829972204.0,2.0734
dolls,sum_of_squared_differences,11,64,disp_sum_of_squared_differences_dolls_11_64.png,1777590712.0,2.0569
dolls,sum_of_squared_differences,11,68,disp_sum_of_squared_differences_dolls_11_68.png,1700546837.0,2.1299
dolls,sum_of_squared_differences,11,72,disp_sum_of_squared_differences_dolls_11_72.png,1696139251.0,2.4149
dolls,sum_of_squared_differences,11,76,disp_sum_of_squared_differences_dolls_11_76.png,1695539116.0,2.327
dolls,sum_of_squared_differences,13,40,disp_sum_of_squared_differences_dolls_13_40.png,2504032989.0,1.8887
dolls,sum_of_squared_differences,13,44,disp_sum_of_squared_differences_dolls_13_44.png,2388305326.0,1.963
dolls,sum_of_squared_differences,13,48,disp_sum_of_squared_differences_dolls_13_48.png,2223434056.0,1.9931
dolls,sum_of_squared_differences,13,52,disp_sum_of_squared_differences_dolls_13_52.png,2036522135.0,2.0849
dolls,sum_of_squared_differences,13,56,disp_sum_of_squared_differences_dolls_13_56.png,1905560210.0,2.1451
dolls,sum_of_squared_differences,13,60,disp_sum_of_squared_differences_dolls_13_60.png,1822426129.0,2.1827
dolls,sum_of_squared_differences,13,64,disp_sum_of_squared_differences_dolls_13_64.png,1773370073.0,2.2581
dolls,sum_of_squared_differences,13,68,disp_sum_of_squared_differences_dolls_13_68.png,1700651041.0,2.2824
dolls,sum_of_squared_differences,13,72,disp_sum_of_squared_differences_dolls_13_72.png,1697372274.0,2.333
dolls,sum_of_squared_differences,13,76,disp_sum_of_squared_differences_dolls_13_76.png,1697070013.0,2.3822
dolls,normalized_sum_of_squared_differences,3,40,disp_normalized_sum_of_squared_differences_dolls_3_40.png,2.410007928571768,3.8248
dolls,normalized_sum_of_squared_differences,3,44,disp_normalized_sum_of_squared_differences_dolls_3_44.png,2.269337026044827,4.2036
dolls,normalized_sum_of_squared_differences,3,48,disp_normalized_sum_of_squared_differences_dolls_3_48.png,2.09997931111766,4.0131
dolls,normalized_sum_of_squared_differences,3,52,disp_normalized_sum_of_squared_differences_dolls_3_52.png,1.770990415595376,4.101
dolls,normalized_sum_of_squared_differences,3,56,disp_normalized_sum_of_squared_differences_dolls_3_56.png,1.541156245809674,4.209
dolls,normalized_sum_of_squared_differences,3,60,disp_normalized_sum_of_squared_differences_dolls_3_60.png,1.2983432949316025,4.4583
dolls,normalized_sum_of_squared_differences,3,64,disp_normalized_sum_of_squared_differences_dolls_3_64.png,1.0943908852308668,4.8996
dolls,normalized_sum_of_squared_differences,3,68,disp_normalized_sum_of_squared_differences_dolls_3_68.png,0.8286666007641947,4.8358
dolls,normalized_sum_of_squared_differences,3,72,disp_normalized_sum_of_squared_differences_dolls_3_72.png,0.8074267305557126,5.0143
dolls,normalized_sum_of_squared_differences,3,76,disp_normalized_sum_of_squared_differences_dolls_3_76.png,0.8125784912147956,5.0912
dolls,normalized_sum_of_squared_differences,5,40,disp_normalized_sum_of_squared_differences_dolls_5_40.png,2.4330149722452723,4.4659
dolls,normalized_sum_of_squared_differences,5,44,disp_normalized_sum_of_squared_differences_dolls_5_44.png,2.278465001190143,4.8215
dolls,normalized_sum_of_squared_differences,5,48,disp_normalized_sum_of_squared_differences_dolls_5_48.png,2.084116814886909,4.7585
