dataset,metric,block_size,occluson_cost,dpm_file_name,score,execution_time
reindeer,normalized_sum_of_squared_differences,5,0.6,dp_disp_normalized_sum_of_squared_differences_reindeer_5_0.6.png,1.0636202988832866,13.6793
reindeer,normalized_sum_of_squared_differences,5,0.7,dp_disp_normalized_sum_of_squared_differences_reindeer_5_0.7.png,0.9665377456088459,13.8876
reindeer,normalized_sum_of_squared_differences,5,0.8,dp_disp_normalized_sum_of_squared_differences_reindeer_5_0.8.png,0.9468834401078854,13.5813
reindeer,normalized_sum_of_squared_differences,5,0.9,dp_disp_normalized_sum_of_squared_differences_reindeer_5_0.9.png,0.9204361578887387,13.8744
reindeer,normalized_sum_of_squared_differences,5,1.0,dp_disp_normalized_sum_of_squared_differences_reindeer_5_1.0.png,0.9219785965901138,13.6508
reindeer,normalized_sum_of_squared_differences,7,0.1,dp_disp_normalized_sum_of_squared_differences_reindeer_7_0.1.png,2.747207224613035,16.0783
reindeer,normalized_sum_of_squared_differences,7,0.2,dp_disp_normalized_sum_of_squared_differences_reindeer_7_0.2.png,2.7153608340736226,16.21
reindeer,normalized_sum_of_squared_differences,7,0.3,dp_disp_normalized_sum_of_squared_differences_reindeer_7_0.3.png,2.404942204716708,16.7685
reindeer,normalized_sum_of_squared_differences,7,0.4,dp_disp_normalized_sum_of_squared_differences_reindeer_7_0.4.png,1.8051982675515257,16.2476
reindeer,normalized_sum_of_squared_differences,7,0.5,dp_disp_normalized_sum_of_squared_differences_reindeer_7_0.5.png,1.3570259936342641,16.4386
reindeer,normalized_sum_of_squared_differences,7,0.6,dp_disp_normalized_sum_of_squared_differences_reindeer_7_0.6.png,1.1035688824560919,15.9286
reindeer,normalized_sum_of_squared_differences,7,0.7,dp_disp_normalized_sum_of_squared_differences_reindeer_7_0.7.png,1.0814336998618506,16.4622
reindeer,normalized_sum_of_squared_differences,7,0.8,dp_disp_normalized_sum_of_squared_differences_reindeer_7_0.8.png,1.0245092193677736,16.297
